category,extra_name,main_name,price,subcategory,unit_price
Brød og frokostblandinger,30 g,Sandwich French Herbs,"kr 11,40",Knekkebrød,"kr 380,00 per kg"
Brød og frokostblandinger,36 g,Sandwich Brunost,"kr 11,40",Knekkebrød,"kr 316,67 per kg"
Mathall,120 g,Chèvre,,Ostedisken,"kr 308,00 per kg"
Mathall,190 g,Chevre Haukeli Naturell,,Ostedisken,"kr 251,79 per kg"
Mathall,120 g,Chevre Ramsløk Haukeli,,Ostedisken,"kr 396,67 per kg"
Mathall,200 g,Gresk Feta PDO,"kr 51,80",Ostedisken,"kr 259,00 per kg"
Mathall,"Økologisk, 200 g",Gresk Feta PDO,"kr 69,60",Ostedisken,"kr 348,00 per kg"
Mathall,200 g,Cheddar,"kr 49,90",Ostedisken,"kr 249,50 per kg"
Mathall,150 g,Selbu Blå,,Ostedisken,"kr 185,07 per kg"
Mathall,150 g,Selbu Blå kraftig,,Ostedisken,"kr 255,47 per kg"
Mathall,150 g,Parmiggiano,"kr 54,90",Ostedisken,"kr 366,00 per kg"
Mathall,200 g,Ovnsbakt Leverpostei,"kr 29,00",Pålegg og spekemat,"kr 145,00 per kg"
Mathall,350 g,Skogshonning Ren,"kr 93,90",Pålegg og spekemat,"kr 268,29 per kg"
Mathall,160 g,Bringebærsyltetøy,"kr 65,80",Pålegg og spekemat,"kr 411,25 per kg"
Mathall,300 g,Håndlaget Blåbærsyltetøy,"kr 64,90",Pålegg og spekemat,"kr 216,33 per kg"
Mathall,300 g,Håndlaget Jordbærsyltetøy,"kr 64,90",Pålegg og spekemat,"kr 216,33 per kg"
Mathall,300 g,Håndlaget Økologisk Appelsinmarmelade,"kr 64,90",Pålegg og spekemat,"kr 216,33 per kg"
Mathall,300 g,Håndlaget Økologisk Bringebærsyltetøy,"kr 64,90",Pålegg og spekemat,"kr 216,33 per kg"
Brød og frokostblandinger,375 g,Havrefras,"kr 38,70",Frokostblandinger og gryn,"kr 103,20 per kg"
Brød og frokostblandinger,450 g,Crusli 4 Nøtter,"kr 49,80",Frokostblandinger og gryn,"kr 110,67 per kg"
Brød og frokostblandinger,"Glutenfri, 300 g",Havreputer,"kr 53,40",Frokostblandinger og gryn,"kr 178,00 per kg"
Brød og frokostblandinger,700 g,Frukt Musli,"kr 35,80",Frokostblandinger og gryn,"kr 51,14 per kg"
Brød og frokostblandinger,630 g,Blåbær Musli,"kr 39,80",Frokostblandinger og gryn,"kr 63,17 per kg"
Brød og frokostblandinger,675 g,Energi Gold,"kr 45,80",Frokostblandinger og gryn,"kr 67,85 per kg"
Brød og frokostblandinger,500 g,Bjørn Rosin & Vaniljesmak,"kr 33,90",Frokostblandinger og gryn,"kr 67,80 per kg"
Middager og tilbehør,"Vegetar, 370 g",Gartnergryte,"kr 45,40",Ferdige middagsretter,"kr 122,70 per kg"
Middager og tilbehør,"Vegetar, 370 g",Bolognese,"kr 44,60",Ferdige middagsretter,"kr 120,54 per kg"
Middager og tilbehør,370 g,Chili sin carne,"kr 44,60",Ferdige middagsretter,"kr 120,54 per kg"
Middager og tilbehør,370 g,Byggrynsgrøt,"kr 24,40",Ferdige middagsretter,"kr 65,95 per kg"
Middager og tilbehør,"1 porsjon, 370 g",Havregrøt,"kr 21,90",Ferdige middagsretter,"kr 59,19 per kg"
Middager og tilbehør,460 g,Risgrøt,"kr 23,90",Ferdige middagsretter,"kr 51,96 per kg"
Middager og tilbehør,970 g,Risgrøt,"kr 38,30",Ferdige middagsretter,"kr 39,48 per kg"
